Number of Iterations, Accuracy 
85000, 0.89903846 
85200, 0.95192308 
85400, 0.89423077 
85600, 0.97596154 
85800, 0.95673077 
86000, 0.91826923 
86200, 0.96153846 
86400, 0.96153846 
86600, 0.97115385 
86800, 0.96153846 
87000, 0.94711538 
87200, 0.97115385 
87400, 0.91826923 
87600, 0.89903846 
87800, 0.93269231 
88000, 0.95673077 
88200, 0.95673077 
88400, 0.96634615 
88600, 0.96634615 
88800, 0.96634615 
89000, 0.97115385 
89200, 0.92788462 
89400, 0.93269231 
89600, 0.96634615 
89800, 0.95673077 
90000, 0.96634615 
90200, 0.91826923 
90400, 0.92788462 
90600, 0.91346154 
90800, 0.95192308 
91000, 0.97115385 
91200, 0.95673077 
91400, 0.98076923 
91600, 0.95192308 
91800, 0.96153846 
92000, 0.97115385 
92200, 0.98076923 
92400, 0.96634615 
92600, 0.96634615 
92800, 0.92788462 
93000, 0.95192308 
93200, 0.96634615 
93400, 0.95192308 
93600, 0.98076923 
93800, 0.97596154 
94000, 0.96153846 
94200, 0.9375 
94400, 0.97115385 
94600, 0.97596154 
94800, 0.95192308 
95000, 0.96153846 
95200, 0.97115385 
95400, 0.97115385 
95600, 0.96634615 
95800, 0.96634615 
96000, 0.95673077 
96200, 0.95192308 
96400, 0.91826923 
96600, 0.94230769 
96800, 0.96153846 
97000, 0.94230769 
97200, 0.92307692 
97400, 0.9375 
97600, 0.94711538 
97800, 0.96634615 
98000, 0.97596154 
98200, 0.96153846 
98400, 0.98076923 
98600, 0.87980769 
98800, 0.90865385 
99000, 0.97115385 
99200, 0.91826923 
99400, 0.97596154 
99600, 0.91826923 
99800, 0.98076923 
100000, 0.97115385 
100200, 0.96634615 
100400, 0.92788462 
100600, 0.96634615 
100800, 0.9375 
101000, 0.94230769 
101200, 0.96634615 
101400, 0.96153846 
101600, 0.98557692 
101800, 0.97596154 
102000, 0.92307692 
102200, 0.95192308 
102400, 0.9375 
102600, 0.94711538 
102800, 0.93269231 
103000, 0.97596154 
103200, 0.97596154 
103400, 0.95673077 
103600, 0.96634615 
103800, 0.94230769 
104000, 0.96153846 
104200, 0.97596154 
104400, 0.95673077 
104600, 0.97596154 
104800, 0.96153846 
105000, 0.96153846 
105200, 0.97115385 
105400, 0.95192308 
105600, 0.96634615 
105800, 0.94230769 
106000, 0.97115385 
106200, 0.94711538 
106400, 0.95673077 
106600, 0.95192308 
106800, 0.95673077 
107000, 0.88461538 
107200, 0.94230769 
107400, 0.94711538 
107600, 0.94230769 
107800, 0.94230769 
108000, 0.94230769 
108200, 0.92307692 
108400, 0.95192308 
108600, 0.96634615 
108800, 0.97596154 
109000, 0.97115385 
109200, 0.96153846 
109400, 0.96634615 
109600, 0.93269231 
109800, 0.96153846 
110000, 0.95192308 
110200, 0.94230769 
110400, 0.92788462 
110600, 0.97596154 
110800, 0.94711538 
111000, 0.96634615 
111200, 0.95192308 
111400, 0.97115385 
111600, 0.97115385 
111800, 0.92788462 
112000, 0.93269231 
112200, 0.96153846 
112400, 0.95673077 
112600, 0.92788462 
112800, 0.96634615 
113000, 0.98076923 
113200, 0.90865385 
113400, 0.94711538 
113600, 0.97596154 
113800, 0.98076923 
114000, 0.9375 
114200, 0.96634615 
114400, 0.98076923 
114600, 0.96634615 
114800, 0.96153846 
115000, 0.98076923 
115200, 0.9375 
115400, 0.95192308 
115600, 0.96153846 
115800, 0.96153846 
116000, 0.97596154 
116200, 0.97596154 
116400, 0.95192308 
116600, 0.9375 
116800, 0.96153846 
117000, 0.95673077 
117200, 0.92788462 
117400, 0.96634615 
117600, 0.96634615 
117800, 0.91826923 
118000, 0.96634615 
118200, 0.98076923 
118400, 0.97596154 
118600, 0.96634615 
118800, 0.92307692 
119000, 0.96153846 
119200, 0.98557692 
119400, 0.93269231 
119600, 0.96634615 
119800, 0.96634615 
120000, 0.94711538 
120200, 0.98557692 
120400, 0.94711538 
120600, 0.90384615 
120800, 0.96153846 
121000, 0.98076923 
121200, 0.95192308 
121400, 0.96153846 
121600, 0.93269231 
121800, 0.96153846 
122000, 0.94230769 
122200, 0.96634615 
122400, 0.96153846 
122600, 0.98076923 
122800, 0.96634615 
123000, 0.97115385 
123200, 0.97596154 
123400, 0.96634615 
123600, 0.95673077 
123800, 0.9375 
124000, 0.90865385 
124200, 0.96634615 
124400, 0.97596154 
124600, 0.98076923 
124800, 0.98076923 
125000, 0.97596154 
125200, 0.98076923 
125400, 0.95192308 
125600, 0.98076923 
125800, 0.98076923 
126000, 0.95192308 
126200, 0.92307692 
126400, 0.95673077 
126600, 0.98076923 
126800, 0.96634615 
127000, 0.95673077 
127200, 0.97596154 
127400, 0.95192308 
127600, 0.9375 
127800, 0.91826923 
128000, 0.96634615 
128200, 0.97596154 
128400, 0.94711538 
128600, 0.97596154 
128800, 0.97115385 
129000, 0.93269231 
129200, 0.97596154 
